Jurisdiction,Policy evaluated,Design,N,Primary outcome,Effect estimate,Mental health or suicide outcome reported
South Korea,"Online game curfew (midnight to 6 AM), under-16s","Difference-in-differences, repeated national cross-sections","~244,000","Daily internet use, minutes","-3.648 min (year 1, P = .001); -3.204 min (year 2, P = .011); -1.140 min (year 3, P = .384); +2.190 min (year 4, P = .107)",Yes
Australia,"Social media minimum age 16, national","Sharp regression discontinuity, prospectively planned",408 (of 436 followed),Continued use of restricted platforms at 3 months,>85% of participants aged <16 y still using restricted platforms; 54%-68% via their own accounts; 15%-19% using fake accounts,No
England,School phone restriction (school-level policy),"Cross-sectional, 30 schools, restrictive vs permissive policy","1,227 (ages 12-15 y)",Warwick-Edinburgh Mental Well-Being Scale,"Adjusted mean difference, -0.48 (95% CI, -2.05 to 1.06); P = .62",Yes
Brazil,National school-hours smartphone restriction,"Prospective cohort, uncontrolled, spanning implementation",(see source),Problematic smartphone use and mental health trajectories,No concurrent comparison group; trajectories cannot be attributed to the restriction,Yes
China,Online gaming restricted to 1 h on Fri/weekends/holidays,Uncontrolled pre-post using platform-reported data,Not reported,In-scope playing time,"Reduced time on registered accounts, with reported substitution to unregulated accounts and devices",No
South Korea,"Online game curfew (midnight to 6 AM), under-16s","Difference-in-differences with regression discontinuity at age 16 and propensity score matching, on individual game-server logs",(individual gamer logs; heavy = top 20% by prior play),"Total play time, minutes, and spending","Light gamers (bottom 80%) −108.752 min (P < .01). Heavy gamers (top 20%) +0.173 min, ie, no effect. Within the treatment group, heavy gamers lost 154.9 and 41.1 min in the two curfew slots but gained 20.9, 69.8, 70.1, 74.3 and 37.6 min across the daytime and evening slots, a net increase. Spending did not change.",No
South Korea,"Online game curfew, second independent evaluation",Multiple regression on repeated national cross-sections,Not reported,"Internet hours, internet addiction, sleep duration",Sleep duration +1.5 min. Internet addiction probability −0.7 percentage points. Probability of being a high-ranked internet user +1.6 percentage points. Effects differed by sex.,No
England,School mobile phone bans (school-level policy),"Difference-in-differences on staggered school-level ban adoption, linked to the National Pupil Database",Not reported,High-stakes exam performance,"+0.07 SD on average, concentrated in previously lowest-achieving students",No
Sweden,"School mobile phone bans, replication of Beland and Murphy","Same design as Beland and Murphy, larger sample, school survey response approximately 75%","15,148 (school-year observations, preferred specification)",Merit points and national test scores,"No effect. Effects larger than 0.024 SD are rejected; in the preferred specification, positive effects larger than 0.01 SD are rejected, which excludes the 0.07 SD reported by Beland and Murphy.",No
Australia (South Australia),Phased school phone ban,"Controlled natural experiment, banned vs comparison schools",Not reported,"Problematic phone use, wellbeing, bullying, school belonging","No short-term effect on problematic phone use, bullying, or school belonging. Academic engagement improved within the ban group but did not differ between groups at follow-up.",Yes
China,"Online gaming restriction, heavy-gamer compliance study",Compliance and substitution survey of heavy gamers,Not reported,Reported compliance and substitute activities,"84.7% reported compliance, but 59% shifted to short videos, 51% to television or anime, and 23% to other games.",No
China,"Online gaming restriction, rural adolescent cohort",Longitudinal cohort with no untreated comparison group,Not reported,"Smartphone game time, addiction score, emotion","Lower reported game time and addiction scores, largest among adolescents classified as addicted before the policy",Yes
